Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Joker
995,30,23,28,36,17,13
996,8,24,16,22,38,5
997,20,38,41,22,32,11
998,1,34,2,22,39,2
999,45,41,21,17,33,14
1000,32,13,30,40,28,4
1001,10,7,20,12,23,6
1002,38,2,15,20,19,18
1003,10,18,34,42,32,17
1004,14,40,19,12,22,20
1005,6,12,14,19,24,15
1006,20,42,6,17,4,18
1007,2,23,25,29,27,10
1008,29,2,17,19,22,13
1009,26,8,44,20,37,5
1010,40,1,38,35,22,19
1011,21,34,6,26,38,16
1012,14,36,38,24,4,8
1013,45,35,39,34,15,4
1014,4,26,24,16,41,19
1015,35,9,25,27,16,19
1016,27,9,32,21,14,20
1017,30,26,20,34,24,5
1018,30,4,29,33,2,2
1019,6,15,14,26,23,19
1020,16,21,33,42,19,2
1021,31,16,5,9,3,17
1022,5,16,45,44,41,9
1023,16,36,11,29,28,13
1024,10,29,36,14,31,18
1025,1,23,3,9,25,11
1026,28,31,26,3,6,1
1027,10,9,39,19,4,19
1028,20,1,5,11,18,4
1029,31,16,28,44,39,15
1030,37,17,8,39,4,1
1031,43,38,3,26,2,17
1032,28,22,12,17,33,10
1033,8,18,40,14,4,8
1034,17,29,32,18,4,1
1035,28,8,6,2,12,16
1036,5,28,39,41,22,2
1037,27,29,10,32,3,7
1038,16,38,12,22,3,3
1039,3,40,37,20,16,1
1040,22,17,5,2,36,14
1041,21,23,26,16,41,9
1042,41,10,29,31,6,20
1043,21,34,30,5,45,17
1044,14,24,45,43,11,9
1045,6,24,42,7,38,20
1046,44,8,24,16,7,7
1047,18,14,43,2,5,7
1048,21,4,10,3,25,14
1049,20,41,37,27,30,18
1050,42,25,1,24,39,19
1051,18,7,43,45,22,7
1052,15,1,38,17,8,3
1053,43,18,16,23,6,16
1054,33,3,6,24,45,14
1055,30,27,3,36,33,6
1056,10,28,30,11,7,16
1057,29,28,45,41,20,15
1058,27,26,20,35,34,7
1059,30,2,43,12,17,13
1060,9,25,29,38,16,9
1061,12,44,39,22,35,8
1062,26,44,39,12,8,12
1063,45,6,13,30,12,6
1064,13,10,15,6,31,5
1065,39,41,25,27,37,16
1066,20,21,44,17,45,15
1067,34,40,38,8,20,14
1068,17,14,45,16,20,9
1069,28,18,37,44,3,4
1070,38,24,17,15,36,1
1071,17,1,21,15,42,16
1072,5,14,32,34,21,7
1073,22,7,38,13,1,20
1074,15,12,11,10,1,14
1075,23,1,30,34,6,6
1076,10,7,33,16,9,18
1077,36,10,37,24,15,6
1078,4,18,16,29,31,14
1079,23,41,9,1,22,8
1080,34,35,6,44,22,7
1081,3,17,15,10,9,7
1082,17,45,36,16,33,11
1083,4,3,40,1,2,13
1084,5,18,16,2,24,13
1085,33,17,20,22,4,16
1086,35,41,28,37,25,2
1087,33,3,28,41,32,3
1088,20,26,5,38,18,16
1089,27,2,4,10,11,9
1090,24,44,32,8,27,20
1091,5,42,36,8,11,11
1092,23,18,24,20,13,7
1093,26,23,44,9,40,1
1094,18,11,12,4,8,5
1095,2,33,40,17,38,9
1096,35,34,43,20,24,20
1097,19,41,25,34,24,20
1098,11,39,1,42,24,17
1099,45,5,8,41,14,15
1100,20,30,27,17,16,11
1101,33,8,14,10,3,2
1102,26,27,17,37,33,5
1103,22,26,35,8,19,18
1104,39,44,19,6,36,17
1105,7,29,42,20,17,7
1106,40,7,1,38,39,20
1107,31,23,33,42,44,16
1108,2,9,32,40,27,2
1109,28,30,9,32,42,18
1110,32,45,33,27,8,1
1111,19,29,3,17,37,4
1112,21,27,18,33,45,1
1113,24,25,3,40,39,16
1114,28,35,36,6,24,20
1115,14,43,20,30,24,3
1116,10,19,26,23,39,15
1117,28,20,23,3,24,11
1118,42,17,11,20,16,2
1119,44,24,15,41,5,2
1120,18,12,11,16,39,11
1121,11,41,37,34,7,6
1122,40,7,8,43,34,3
1123,35,37,13,41,31,1
1124,34,29,21,42,19,9
1125,38,34,37,35,17,11
1126,19,23,37,43,38,2
1127,36,11,6,18,10,7
1128,40,38,30,31,23,18
1129,3,28,36,23,45,5
1130,3,11,10,31,35,4
1131,6,45,3,21,40,2
1132,21,3,37,39,7,11
1133,10,2,41,16,19,9
1134,12,45,30,6,2,11
1135,11,40,7,20,17,10
1136,25,40,31,39,32,14
1137,4,41,43,17,29,14
1138,23,1,31,36,12,18
1139,7,38,36,31,6,12
1140,19,11,20,34,27,9
1141,42,14,28,22,36,9
1142,24,16,10,39,1,12
1143,12,33,32,45,4,19
1144,8,35,11,17,42,16
1145,8,45,2,42,5,16
1146,20,19,29,17,32,14
1147,24,41,33,15,16,5
1148,21,32,36,13,15,2
1149,35,21,19,11,34,9
1150,42,32,27,31,2,18
1151,3,20,32,8,4,6
1152,16,32,25,28,38,20
1153,23,27,20,6,16,3
1154,37,3,41,24,35,11
1155,23,4,32,18,24,16
1156,12,34,16,1,41,10
1157,43,34,31,24,2,2
1158,5,33,42,45,17,7
1159,40,24,22,23,20,11
1160,26,42,10,32,6,5
1161,25,12,39,16,13,6
1162,18,34,5,33,28,9
1163,24,31,3,13,10,5
1164,26,32,6,8,24,6
1165,16,45,39,1,22,5
1166,19,32,18,13,15,8
1167,38,16,2,1,43,1
1168,23,29,16,4,20,3
1169,22,23,39,18,34,4
1170,22,40,32,42,15,17
1171,30,39,24,20,9,14
1172,14,23,2,6,35,17
1173,5,2,32,31,43,10
1174,32,25,8,45,24,10
1175,7,11,43,9,35,2
1176,31,39,27,37,32,11
1177,10,29,7,11,8,12
1178,41,22,21,18,37,10
1179,39,5,17,2,25,1
1180,14,10,45,18,3,1
1181,41,29,21,22,45,3
1182,41,32,26,4,23,17
1183,15,6,9,5,3,1
1184,15,37,24,17,9,15
1185,1,2,12,41,31,17
1186,27,1,3,38,31,18
1187,17,34,31,36,24,7
1188,45,23,32,11,25,1
1189,7,38,12,31,42,10
1190,23,21,10,34,27,4
1191,7,22,5,6,44,13
1192,11,40,36,41,5,19
1193,41,43,44,2,15,20
1194,22,29,37,31,5,8
1195,21,7,28,34,23,15
1196,44,10,11,8,17,17
1197,20,31,16,38,15,14
1198,37,14,7,32,41,17
1199,12,21,9,10,33,5
1200,17,10,32,18,20,14
1201,41,10,27,37,20,18
1202,9,12,6,16,3,6
1203,23,10,4,39,13,8
1204,23,45,20,21,26,12
1205,27,30,9,31,16,6
1206,30,26,17,15,34,6
1207,33,4,36,22,17,2
1208,45,30,33,3,5,20
1209,28,4,10,16,23,17
1210,42,34,37,16,39,4
1211,3,21,37,13,19,16
1212,21,6,4,35,30,11
1213,3,38,27,9,24,14
1214,40,28,24,42,39,8
1215,41,31,15,28,18,19
1216,20,28,25,21,43,5
1217,23,17,16,37,28,10
1218,12,31,15,22,41,7
1219,10,9,2,33,31,1
1220,10,40,19,20,34,11
1221,8,15,12,25,30,8
1222,3,5,38,1,10,13
1223,28,31,26,40,4,5
1224,7,20,39,33,18,19
1225,38,33,15,41,23,6
1226,22,21,14,12,3,13
1227,5,37,15,10,16,4
1228,13,19,21,3,17,5
1229,12,18,39,42,19,6
1230,38,20,2,26,16,2
1231,40,14,27,28,34,17
1232,45,31,16,26,20,14
1233,45,31,6,5,15,8
1234,44,34,3,18,26,8
1235,36,33,30,44,26,1
1236,38,5,2,45,35,3
1237,38,25,40,1,37,11
1238,26,40,12,3,19,14
1239,20,2,31,22,40,19
1240,27,35,21,7,14,15
1241,2,45,9,13,15,7
1242,8,30,15,11,14,8
1243,37,20,42,7,26,10
1244,15,42,16,4,7,13
1245,45,34,21,35,10,2
1246,15,27,21,6,14,8
1247,6,39,37,16,20,16
1248,13,39,34,30,5,18
1249,4,15,19,33,38,16
1250,41,32,22,26,39,18
1251,21,32,4,40,23,9
1252,38,42,43,8,19,13
1253,33,19,13,39,34,11
1254,14,19,40,31,6,10
1255,15,45,8,17,14,18
1256,23,14,38,40,44,18
1257,11,14,43,4,7,19
1258,15,39,24,29,18,5
1259,35,8,36,6,16,12
1260,36,20,12,31,45,5
1261,20,12,40,31,10,18
1262,16,31,10,22,40,9
1263,20,39,40,29,36,16
1264,27,20,35,5,13,17
1265,19,21,27,14,18,4
1266,4,35,24,41,25,5
1267,17,1,4,8,44,19
1268,32,30,33,28,21,13
1269,2,12,31,10,29,6
1270,40,3,5,4,29,8
1271,32,43,42,3,37,8
1272,32,21,22,24,42,2
1273,16,19,3,25,6,12
1274,42,19,11,32,4,8
1275,21,43,37,1,36,9
1276,21,41,27,42,20,10
1277,6,38,23,20,10,9
1278,29,19,3,5,10,14
1279,29,8,15,20,1,7
1280,21,29,7,40,2,10
1281,22,9,45,10,20,15
1282,16,17,33,11,22,6
1283,43,41,17,18,29,1
1284,12,6,33,7,35,5
1285,7,45,22,9,21,11
1286,5,44,19,21,7,14
1287,9,29,31,12,10,11
1288,27,30,3,22,44,10
1289,5,21,8,42,33,17
1290,43,21,3,8,13,6
1291,36,29,35,9,30,14
1292,39,31,33,42,27,20
1293,41,14,7,31,37,2
1294,44,29,8,14,17,3
1295,33,12,42,7,30,8
1296,42,8,1,41,2,19
1297,22,20,12,42,15,12
1298,29,40,43,13,35,9
1299,13,24,40,35,34,20
1300,43,9,16,36,32,8
1301,8,12,33,1,38,1
1302,16,28,6,5,32,4
1303,26,34,2,28,11,14
1304,35,16,36,26,39,9
1305,21,41,42,37,44,20
1306,12,33,17,30,2,5
1307,45,44,2,32,10,6
1308,28,12,20,2,35,7
1309,29,19,26,4,35,13
1310,10,37,24,15,25,13
1311,44,40,39,3,32,20
1312,39,34,21,10,30,4
1313,38,1,25,30,7,7
1314,35,45,13,4,24,2
1315,37,8,41,22,38,3
1316,6,5,3,25,21,17
1317,6,24,27,23,10,1
1318,34,5,20,23,29,7
1319,21,45,28,16,23,4
1320,34,3,1,29,20,6
1321,15,21,41,5,12,8
1322,40,21,37,26,42,6
1323,28,10,34,41,14,19
1324,39,37,16,44,6,5
1325,13,44,5,42,43,6
1326,27,10,19,14,32,2
1327,6,31,7,3,12,7
1328,10,44,3,20,16,3
1329,32,30,12,11,19,11
1330,31,15,38,32,44,5
1331,11,27,6,4,41,5
1332,4,18,12,14,9,7
1333,4,35,18,8,1,2
1334,13,35,17,24,6,5
1335,35,28,1,24,3,9
1336,28,41,42,17,43,5
1337,30,42,3,25,28,4
1338,31,41,35,21,22,20
1339,28,34,18,29,22,1
1340,5,4,35,36,31,20
1341,40,39,16,2,7,16
1342,1,34,35,27,3,7
1343,31,8,3,33,45,5
1344,22,20,25,12,36,15
1345,35,9,30,17,7,5
1346,11,35,7,25,20,4
1347,7,31,40,45,22,17
1348,12,4,25,30,6,15
1349,26,31,6,23,18,8
1350,34,31,33,9,18,5
1351,41,23,3,18,2,18
1352,31,8,28,22,40,7
1353,2,8,41,28,40,8
1354,34,10,26,25,36,19
1355,30,13,14,36,5,15
1356,1,12,45,38,23,20
1357,3,20,1,25,12,10
1358,26,28,40,21,24,5
1359,29,38,45,4,25,11
1360,5,31,26,42,30,13
1361,45,30,7,31,9,6
1362,3,37,16,8,34,9
1363,12,28,17,45,42,17
1364,39,5,7,15,29,8
1365,19,31,8,33,17,14
1366,27,10,2,43,12,1
1367,13,14,1,35,25,10
1368,32,2,20,40,41,4
1369,2,37,34,15,21,4
1370,21,12,18,28,32,13
1371,12,24,31,6,34,18
1372,24,22,40,39,27,17
1373,11,26,32,23,44,9
1374,40,32,41,2,38,3
1375,31,44,41,20,25,5
1376,21,3,42,34,4,9
1377,34,1,6,26,10,14
1378,6,18,29,32,17,8
1379,19,20,38,40,10,16
1380,35,5,43,21,9,7
1381,4,7,19,26,31,9
1382,25,13,15,11,37,17
1383,17,24,42,44,13,6
1384,16,44,9,27,36,2
1385,44,40,27,10,35,12
1386,32,22,6,42,36,3
1387,25,18,37,39,32,13
1388,24,20,4,25,39,3
1389,9,38,8,6,3,15
1390,28,40,18,43,16,20
1391,6,15,45,32,41,16
1392,25,27,3,1,8,2
1393,39,37,43,44,2,5
1394,17,4,37,16,27,2
1395,17,27,26,23,30,15
1396,37,36,18,39,7,3
1397,38,14,37,12,19,20
1398,32,6,25,24,42,6
1399,43,31,22,9,23,7
1400,18,45,21,20,37,15
1401,45,2,21,3,10,20
1402,39,4,13,32,20,3
1403,8,20,42,38,22,17
1404,18,38,43,45,11,2
1405,29,44,27,6,40,19
1406,39,3,32,27,30,3
1407,11,33,10,6,12,3
1408,36,13,45,31,12,14
1409,17,3,7,28,38,15
1410,25,6,43,5,2,4
1411,21,22,14,7,43,19
1412,1,41,5,2,22,6
1413,44,30,17,3,24,6
1414,43,3,41,27,15,19
1415,4,3,13,43,11,16
1416,1,37,13,23,5,2
1417,30,6,27,13,20,11
1418,29,3,39,14,33,6
1419,42,18,33,12,34,4
1420,18,15,40,13,3,6
1421,16,27,22,6,43,4
1422,28,39,33,1,45,8
1423,9,14,12,10,4,7
1424,35,29,11,14,4,6
1425,13,4,22,35,39,4
1426,26,10,15,16,14,18
1427,40,21,16,18,17,2
1428,21,5,24,16,13,8
1429,29,21,34,1,39,2
1430,17,37,27,4,35,3
1431,40,13,39,34,25,10
1432,14,33,26,9,28,5
1433,16,13,33,44,39,8
1434,5,6,15,25,33,12
1435,22,6,21,5,45,3
1436,40,3,16,1,37,18
1437,14,5,11,25,18,18
1438,26,17,1,8,33,17
1439,7,4,42,27,19,12
1440,42,23,41,38,13,14
1441,3,28,44,19,14,13
1442,45,4,31,18,21,1
1443,1,8,18,12,24,18
1444,41,10,32,31,6,12
1445,33,20,3,21,34,18
1446,30,18,43,3,16,7
1447,34,11,21,40,43,2
1448,16,5,38,35,37,13
1449,10,27,4,37,36,12
1450,37,40,44,42,28,3
1451,11,21,12,2,3,19
1452,37,32,16,23,2,7
1453,4,7,13,40,44,19
1454,10,13,33,18,45,3
1455,22,5,38,4,24,4
1456,39,43,16,34,28,10
1457,45,16,10,35,31,18
1458,1,31,12,44,5,9
1459,36,9,29,26,40,11
1460,41,45,24,16,6,12
1461,28,45,24,40,33,5
1462,35,44,19,25,43,3
1463,6,20,7,9,8,4
1464,43,11,15,42,36,1
1465,24,23,4,18,32,9
1466,30,38,40,32,27,3
1467,13,6,4,1,28,3
1468,31,34,8,17,24,3
1469,17,14,37,41,26,7
1470,42,18,27,10,32,14
1471,25,22,19,4,10,9
1472,37,35,8,39,14,20
1473,27,3,32,2,11,14
1474,44,1,35,17,43,20
1475,16,43,23,24,20,16
1476,17,5,6,37,44,10
1477,10,6,35,21,43,7
1478,23,29,10,17,26,14
1479,31,10,15,7,5,16
1480,31,32,19,22,35,13
1481,37,24,8,40,20,12
1482,45,28,4,5,18,3
1483,45,31,33,30,7,9
1484,22,8,5,36,23,13
1485,1,40,13,19,25,10
1486,10,14,26,24,22,8
1487,31,14,21,5,23,13
1488,35,17,4,42,31,9
1489,25,35,5,45,34,9
1490,25,12,43,13,34,12
1491,41,6,34,19,32,13
1492,31,41,16,43,13,12
1493,5,11,35,4,18,13
1494,38,12,25,28,41,4
1495,3,26,17,4,27,1
1496,27,31,21,44,26,6
1497,8,14,38,36,29,7
1498,5,23,37,45,8,18
1499,12,38,25,42,7,20
1500,32,5,42,39,37,5
1501,11,17,27,14,28,5
1502,41,9,27,43,42,5
1503,27,11,18,45,4,5
1504,24,25,6,22,9,9
1505,14,28,38,39,19,2
1506,27,16,17,7,31,17
1507,2,44,27,12,33,5
1508,10,40,25,8,35,10
1509,1,27,22,21,12,8
1510,19,16,43,5,37,12
1511,33,37,6,18,34,9
1512,45,43,42,41,20,15
1513,4,10,14,1,11,20
1514,10,20,31,28,45,6
1515,18,10,7,30,24,11
1516,3,40,34,21,44,9
1517,25,2,39,8,43,9
1518,10,3,38,24,5,20
1519,27,43,22,12,42,13
1520,43,31,42,33,19,18
1521,35,19,41,16,20,12
1522,24,23,27,13,19,15
1523,8,10,43,7,18,10
1524,20,9,8,42,31,20
1525,16,4,43,36,5,7
1526,32,10,33,3,12,15
1527,27,36,23,42,9,17
1528,29,19,30,38,13,10
1529,29,3,24,20,7,4
1530,43,33,40,19,12,10
1531,9,36,27,21,3,8
1532,31,39,7,10,15,12
1533,11,38,29,10,36,3
1534,6,9,14,3,16,8
1535,44,36,1,6,16,19
1536,9,27,38,34,7,10
1537,9,25,24,30,14,16
1538,37,24,22,10,26,20
1539,3,28,13,29,17,7
1540,17,26,1,32,35,20
1541,45,3,9,1,29,19
1542,13,6,45,9,8,8
1543,32,42,39,20,4,19
1544,7,32,40,6,25,9
1545,16,25,35,5,42,16
1546,36,1,23,8,41,5
1547,23,28,11,35,18,18
1548,13,32,41,5,23,4
1549,30,3,41,7,18,14
1550,26,20,19,16,44,12
1551,11,25,13,9,31,1
1552,13,17,38,25,2,1
1553,10,34,23,32,8,4
1554,25,4,5,3,10,11
1555,42,32,41,18,22,6
1556,11,7,41,3,22,18
1557,33,2,28,30,5,12
1558,6,39,28,9,25,2
1559,18,1,35,44,22,16
1560,4,22,21,6,18,2
1561,9,41,14,3,45,11
1562,30,23,1,41,31,4
1563,3,35,12,44,38,13
1564,22,45,37,23,7,18
1565,25,15,31,3,2,18
1566,31,16,15,32,38,7
1567,29,43,42,34,8,13
1568,44,9,14,13,16,8
1569,32,7,5,29,14,14
1570,24,10,11,4,43,20
1571,8,22,34,2,5,6
1572,19,15,20,21,1,20
1573,29,28,21,9,3,10
1574,1,2,30,33,9,17
1575,44,9,6,32,10,16
1576,38,28,2,6,25,1
1577,10,24,37,30,28,1
1578,25,14,6,32,20,19
1579,33,25,44,17,28,1
1580,21,17,39,26,44,19
1581,30,15,34,42,8,20
1582,11,43,16,32,38,9
1583,38,8,15,27,34,11
1584,2,19,42,11,39,12
1585,35,42,2,28,30,6
1586,33,44,20,12,17,10
1587,18,21,13,23,36,17
1588,19,45,10,11,42,6
1589,17,21,33,27,10,16
1590,21,6,29,14,19,18
1591,10,36,14,38,39,11
1592,12,10,11,27,36,19
1593,32,6,29,45,8,2
1594,41,25,13,8,31,13
1595,40,35,23,19,28,19
1596,24,12,21,4,7,19
1597,5,45,44,1,4,9
1598,18,10,16,26,3,19
1599,15,40,20,41,3,11
1600,16,25,11,38,36,12
1601,13,25,11,44,18,17
1602,6,5,8,12,3,4
1603,12,22,18,26,31,4
1604,2,44,8,40,30,19
1605,14,18,1,31,24,2
1606,19,22,42,36,34,20
1607,45,16,4,18,1,5
1608,31,13,21,33,16,17
1609,13,33,23,6,20,8
1610,34,9,45,5,31,10
1611,12,27,29,16,23,9
1612,6,21,45,36,24,7
1613,2,3,23,25,10,1
1614,3,24,22,21,38,10
1615,39,33,4,40,36,7
1616,6,4,24,45,33,8
1617,20,28,32,33,27,4
1618,2,1,10,25,14,3
1619,9,44,41,1,12,2
1620,1,23,15,18,26,17
1621,3,5,20,9,41,13
1622,4,9,43,1,36,4
1623,13,40,5,16,7,3
1624,5,29,38,14,23,9
1625,39,36,45,21,15,19
1626,36,7,8,25,13,1
1627,2,33,27,9,31,1
1628,12,42,31,33,34,12
1629,28,24,27,7,39,10
1630,40,37,42,31,21,16
1631,45,10,14,11,37,7
1632,45,38,40,8,32,10
1633,24,26,40,29,1,14
1634,19,34,18,31,6,18
1635,30,24,16,17,22,19
1636,30,36,21,25,42,1
1637,26,6,39,9,33,5
1638,36,14,40,28,13,4
1639,17,8,43,20,29,14
1640,6,31,25,18,11,3
1641,24,3,29,43,15,6
1642,4,9,30,35,33,13
1643,4,7,38,3,24,12
1644,31,43,1,4,16,7
1645,24,42,20,30,25,14
1646,32,33,14,8,29,20
1647,21,1,34,3,43,10
1648,15,42,26,45,1,13
1649,1,24,26,28,27,7
1650,12,23,19,15,3,13
1651,28,6,11,21,40,18
1652,33,10,31,18,28,8
1653,13,17,25,23,16,8
1654,28,31,32,9,27,19
1655,37,21,6,5,29,18
1656,43,21,32,6,5,19
1657,29,43,1,28,36,3
1658,38,4,21,26,15,3
1659,12,45,36,11,44,6
1660,11,3,21,30,2,15
1661,14,38,40,3,28,10
1662,31,7,34,25,29,2
1663,23,3,38,7,15,19
1664,8,15,13,28,23,4
1665,16,3,2,43,6,20
1666,31,35,5,6,9,2
1667,4,44,41,37,9,10
1668,35,8,32,25,26,2
1669,19,40,2,23,12,16
1670,25,35,45,40,8,19
1671,20,32,33,5,31,4
1672,2,19,18,27,39,20
1673,6,45,23,22,17,13
1674,21,35,17,20,27,17
1675,28,27,1,24,10,12
1676,6,40,5,39,25,4
1677,14,42,13,40,3,8
1678,36,19,25,11,23,2
1679,3,20,23,5,14,17
1680,36,28,35,17,32,12
1681,28,43,11,32,18,10
1682,17,10,19,15,8,7
1683,31,11,17,16,2,6
1684,8,5,30,36,17,13
1685,25,43,11,33,20,15
1686,39,12,28,35,5,2
1687,45,31,14,6,4,16
1688,14,22,15,38,17,17
1689,8,21,27,44,3,7
1690,15,16,36,5,29,20
1691,42,37,17,28,18,2
1692,14,18,35,19,25,16
1693,41,28,16,39,20,1
1694,33,16,23,32,22,2
1695,3,36,19,18,1,19
1696,45,6,10,8,29,6
1697,30,15,2,35,29,10
1698,35,1,45,24,23,2
1699,10,21,43,15,20,11
1700,43,3,5,18,31,11
1701,38,19,28,1,12,3
1702,9,24,19,5,27,1
1703,24,28,29,37,32,8
1704,34,36,23,14,1,15
1705,38,1,34,25,28,6
1706,32,29,20,21,22,12
1707,15,7,27,31,32,6
1708,10,25,2,3,7,1
1709,7,45,4,3,2,7
1710,13,1,12,14,20,1
1711,20,7,1,45,24,17
1712,37,28,5,32,2,11
1713,3,6,41,29,24,9
1714,17,8,1,21,19,1
1715,4,41,22,11,33,8
1716,15,38,41,17,6,5
1717,14,22,30,20,12,9
1718,21,36,22,23,45,20
1719,39,19,13,3,36,9
1720,21,7,43,5,35,4
1721,42,40,8,4,10,10
1722,26,2,19,20,8,16
1723,35,37,44,13,3,3
1724,35,6,16,26,43,5
1725,38,10,14,45,16,11
1726,30,2,4,38,29,12
1727,8,41,28,36,21,16
1728,18,14,44,9,31,15
1729,26,42,35,20,13,12
1730,34,42,24,17,39,15
1731,20,23,37,24,35,19
1732,21,16,3,2,39,17
1733,45,44,21,10,39,8
1734,23,14,3,20,28,9
1735,22,10,28,17,19,7
1736,10,11,45,21,1,6
1737,34,43,25,23,31,19
1738,17,19,31,43,10,9
1739,14,23,15,10,36,16
1740,22,3,45,21,10,15
1741,7,25,26,12,18,2
1742,26,14,22,7,19,17
1743,28,2,7,20,5,9
1744,14,7,6,8,37,13
1745,2,4,39,26,20,7
1746,39,29,20,18,41,16
1747,43,40,33,7,4,16
1748,37,11,39,38,22,4
1749,22,5,13,23,20,19
1750,27,42,17,21,2,2
1751,14,44,28,31,25,13
1752,39,23,25,8,31,1
1753,41,8,45,3,34,7
1754,5,9,16,22,43,1
1755,9,1,41,13,3,2
1756,39,26,5,43,40,19
1757,8,32,1,43,5,11
1758,24,15,5,8,34,14
1759,31,18,39,20,13,2
1760,5,28,19,22,29,12
1761,21,40,16,38,44,6
1762,20,3,28,16,38,20
1763,2,42,37,3,44,1
1764,11,24,3,22,26,4
1765,17,34,15,3,33,9
1766,26,16,35,6,29,13
1767,16,1,26,25,43,15
1768,35,3,14,7,19,14
1769,14,33,38,28,26,20
1770,25,31,9,37,34,7
1771,40,5,28,7,36,10
1772,17,10,3,29,4,2
1773,14,31,24,39,12,13
1774,9,20,39,4,13,20
1775,29,34,42,16,45,10
1776,34,3,40,6,25,9
1777,25,6,15,8,34,1
1778,1,43,5,28,45,6
1779,28,26,42,15,36,15
1780,1,32,10,12,23,1
1781,40,38,13,44,31,10
1782,9,27,35,40,21,19
1783,16,27,4,26,29,16
1784,15,8,30,42,6,15
1785,45,1,28,8,39,17
1786,20,24,30,19,35,9
1787,8,19,41,17,18,8
1788,29,31,14,40,36,8
1789,28,27,13,19,2,19
1790,1,20,19,5,6,9
1791,1,28,44,8,29,15
1792,30,32,27,18,39,18
1793,3,35,30,16,11,19
1794,34,7,31,13,12,13
1795,10,26,21,36,35,18
1796,6,7,10,3,1,4
1797,7,44,20,37,3,13
1798,8,21,34,11,44,12
1799,6,9,38,14,45,12
1800,2,31,7,39,18,7
1801,44,19,14,2,20,11
1802,13,10,33,31,28,20
1803,16,13,2,3,7,15
1804,33,39,5,20,19,12
1805,28,19,30,9,20,9
1806,17,45,35,13,3,3
1807,19,44,36,20,4,20
1808,5,18,23,31,30,3
1809,37,15,6,8,11,17
1810,45,27,7,5,13,7
1811,11,8,38,7,31,9
1812,35,33,16,36,6,13
1813,30,18,43,22,14,16
1814,33,35,16,27,18,3
1815,29,6,43,28,23,17
1816,3,26,44,30,23,15
1817,45,6,10,15,2,19
1818,36,19,7,33,15,16
1819,5,25,3,28,29,12
1820,3,8,13,2,34,16
1821,27,22,24,35,40,10
1822,41,1,16,2,35,13
1823,29,23,10,20,2,18
1824,20,32,6,25,24,7
1825,19,44,5,40,3,18
1826,1,12,34,42,16,17
1827,24,33,12,26,16,8
1828,13,17,31,4,19,2
1829,14,36,23,7,16,15
1830,8,32,38,2,23,5
1831,10,42,18,23,19,4
1832,41,13,7,5,24,11
1833,18,12,2,28,14,10
1834,34,14,17,43,37,13
1835,14,32,31,38,22,7
1836,36,22,20,6,8,13
1837,31,12,1,13,8,14
1838,14,42,39,34,45,15
1839,37,32,45,17,29,2
1840,25,39,2,44,43,16
1841,19,14,41,34,21,4
1842,6,19,43,1,37,4
1843,18,3,45,10,44,11
1844,45,44,18,5,10,3
1845,1,4,29,11,45,15
1846,39,11,14,21,42,3
1847,42,1,6,34,45,17
1848,2,13,43,12,42,9
1849,17,18,30,26,37,19
1850,8,25,5,37,17,16
1851,25,16,23,28,36,2
1852,45,27,39,17,13,7
1853,33,1,13,8,10,20
1854,3,32,13,22,4,8
1855,17,26,23,4,41,20
1856,44,34,18,36,30,20
1857,2,34,27,44,45,20
1858,40,3,29,39,42,17
1859,28,36,39,11,34,3
1860,20,28,2,14,29,14
1861,44,7,41,40,30,11
1862,20,7,6,35,3,2
1863,22,7,33,4,34,16
1864,30,42,33,40,43,15
1865,23,27,43,14,29,14
1866,29,41,44,4,11,19
1867,44,25,13,23,39,6
1868,40,36,42,33,12,13
1869,3,11,26,12,8,6
1870,9,40,19,35,13,19
1871,30,34,7,28,10,6
1872,36,4,39,40,33,19
1873,11,33,9,20,35,16
1874,9,15,38,20,26,5
1875,22,8,32,34,10,19
1876,34,7,44,35,9,8
1877,3,17,4,5,19,4
1878,33,30,39,1,38,7
1879,37,42,27,7,36,4
1880,42,15,44,28,37,19
1881,42,34,21,23,36,12
1882,30,27,4,25,12,13
1883,38,12,8,44,7,12
1884,3,23,1,24,25,12
1885,29,27,35,15,6,16
1886,9,12,41,35,24,5
1887,3,2,4,39,28,17
1888,27,13,4,15,11,10
1889,27,41,2,26,36,11
1890,13,4,23,26,33,15
1891,4,12,14,19,29,6
1892,3,12,18,27,33,12
1893,12,29,10,16,37,17
1894,33,6,18,43,26,14
1895,19,5,2,44,29,14
1896,17,16,36,41,14,19
1897,16,29,1,9,24,8
1898,19,44,21,4,22,14
1899,13,43,35,37,6,18
1900,5,24,28,15,41,4
1901,3,14,26,41,7,8
1902,45,23,15,9,7,19
1903,30,27,37,24,28,10
1904,1,6,26,34,15,20
1905,32,18,17,3,15,17
1906,16,2,32,37,12,9
1907,22,33,26,12,15,15
1908,21,25,3,15,17,13
1909,35,7,15,23,26,8
1910,16,2,30,15,19,18
1911,25,19,39,32,34,17
1912,26,11,22,40,44,10
1913,43,19,23,17,31,2
1914,36,32,35,8,9,6
1915,23,27,26,7,33,10
1916,28,11,24,26,31,20
1917,1,18,21,29,14,13
1918,32,41,23,18,39,11
1919,29,27,7,6,8,18
1920,22,19,39,20,11,1
1921,29,20,4,2,37,14
1922,2,25,30,13,8,2
1923,35,11,10,33,7,12
1924,41,35,45,5,32,20
1925,28,3,26,45,10,2
